GEOID,Pct_NonWhite,Pct_PublicTrans,Pct_RentBurden,Pct_BelowPov
6037119801,91.3,2.36,57.26,13.7
6037119802,94.1,1.91,35.2,15.7
6037119900,94.4,5.58,72.45,2.6
6037120010,93.8,4.96,55.26,13.9
6037120020,92.4,9.98,69.36,22
6037120030,89.6,11.26,56.83,30.4
6037120103,97,16.10,77.16,34.8
6037120104,89.6,5.63,56.71,22.2
6037120105,93.7,4.22,62.17,19.2
6037120106,97.5,12.41,79.34,33.2
6037120107,95.6,3.18,67.5,35.1
6037120108,89.7,8.95,58.82,25
6037120300,77.3,8.07,69.82,17.3
6037120400,74.3,4.41,59.48,15.6
6037121010,70.5,5.86,59.22,8.2
6037121020,68.4,3.08,72.71,11.2
6037121101,82.7,5.42,48.88,11.6
6037121102,58.4,0.37,63.87,5.9
6037121210,87.3,2.18,63.04,9.2
6037121221,86.4,0.00,31.67,9.3
6037121222,90.9,6.54,57.82,14.8
6037121600,60.4,2.23,63.39,17.1
6037121801,86.9,4.91,71.78,10.9
6037121802,80.5,5.78,51.94,18.8
6037121900,83.1,4.26,54.9,12
6037122000,56.3,2.03,62.86,10.6
6037122120,85.7,2.54,48.07,14.3
6037122121,88.4,2.96,56.82,28
6037122122,92.6,10.56,73.04,29.4
6037122200,86.9,0.42,68.7,10.9
6037122410,93.1,5.24,47.27,19.4
6037122420,92.2,4.88,58.64,16.5
6037123010,91.1,4.83,86.09,27.3
6037123020,84.1,4.64,60.98,7.7
6037123103,69.8,1.41,48.38,10.6
6037123104,67.5,7.94,60.31,25
6037123203,81,7.17,71.69,26
6037123204,82.9,11.48,60.81,24.2
6037123205,82.1,15.87,64.34,34.6
6037123206,90.9,5.36,53.81,18.9
6037123301,66.5,3.44,69.65,7.9
6037123303,62.6,18.36,54.58,19.1
6037123304,53.7,10.12,69.25,15.5
6037123410,60.6,8.05,80.28,29.1
6037123420,65.4,7.46,63.2,20.2
6037123510,61.3,6.05,65.43,21.7
6037123520,64.4,3.91,70.77,16
6037123601,50.9,8.08,52.78,17.1
6037123602,46.1,14.55,64.95,23.6
6037123700,46.1,1.51,53.2,12.7
6037123800,36.6,2.20,54.45,14
6037123901,65.4,12.32,64.48,23.7
6037123902,51.2,1.51,50.23,18.2
6037124000,29.3,1.08,54.87,17.8
6037124102,69.1,7.91,60.09,28.3
6037124103,76.8,9.83,56.18,12.1
6037124104,75.7,6.60,69.08,20.3
6037124105,75.8,9.61,57.02,16.5
6037124201,79,5.57,52.76,10.1
6037124203,73.5,6.09,60.89,9.3
6037124204,71.5,8.54,60.27,28.6
6037124300,65.4,6.35,61.4,6.7
6037124400,40.1,0.00,54.16,8
6037124500,43.1,4.11,68.59,15.5
6037124600,26.7,0.54,67.72,3.7
6037124700,28.5,4.02,44.4,8.9
6037124902,54.6,5.80,50.43,12.2
6037124903,50.2,4.07,62.77,14.5
6037125101,61.2,4.63,51.89,13.9
6037125102,29.7,1.87,56.61,9.4
6037125200,47.7,5.40,56.51,7.6
6037125310,62.4,4.21,52.33,11.9
6037125321,50.8,3.97,75.24,14.8
6037125322,64.7,4.88,74.85,28.7
6037125402,49.4,2.58,59.3,7.9
6037125403,57.2,9.94,67.53,14.1
6037125404,64.8,5.80,61.38,17.5
6037125501,41.6,1.17,54.32,14.2
6037125502,42.2,2.40,52.71,16.8
6037125600,44.6,0.64,53.05,9.1
6037127102,78.2,5.64,75.83,25.7
6037127103,77.6,14.81,51.59,10.4
6037127104,69.4,3.96,83.75,21.5
6037127210,80.6,6.63,56.18,8.7
6037127220,88.6,8.94,71.06,22.3
6037127300,79,8.88,58.72,7.6
6037127400,84.9,7.99,54.78,17.2
6037127520,92.9,13.45,63.19,24.6
6037127603,95.2,6.99,59.3,25.7
6037127604,69.6,6.92,71.77,24.4
6037127605,80.8,7.08,57.19,22.2
6037127606,77.2,2.12,59.82,25.3
6037127711,71.7,4.97,47.7,22.2
6037127712,78.6,2.98,60.9,22.5
6037127803,78.5,1.03,62.24,21.7
6037127804,78.5,6.82,58.63,13.8
6037127805,77.7,11.50,57.59,27.8
6037127806,84,4.41,54.99,9.3
6037127910,86.4,6.92,65.62,24.9
